Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
18,3,5,3.754,1.048,1.048,256,1024,128,4.802,N/A,N/A,1.8,7101340.748793,979700,182175,797525,1.52,0.0146,1.48e-06,1.54,0.109,0.16,1.18e-06,0.269,979571,985612,183178,189219,979700,7101340.748793,0,0,0,1561
18,4,5,3.989,0.801,0.801,1024,128,16,4.79,N/A,N/A,0.22,845442.095999,118047,21062,96985,0.179,0.00267,1.72e-07,0.182,0.0158,0.0225,1.52e-07,0.0383,118170,119207,21282,22319,118047,845442.095999,0,0,0,99
18,5,5,3.568,1.244,1.244,1024,32,32,4.812,N/A,N/A,0.399,1519752.563199,210399,38662,171737,0.324,0.00381,3.14e-07,0.328,0.0287,0.0421,2.61e-07,0.0708,210486,212234,38991,40739,210399,1519752.563199,0,0,0,188
18,6,5,3.91,0.885,0.885,32,1536,128,4.795,N/A,N/A,2.07,8444835.516789,1161403,219039,942364,1.81,0.00955,1.77e-06,1.81,0.0975,0.161,1.31e-06,0.258,1161274,1167313,220040,226079,1161403,8444835.516789,0,0,0,3036
19,0,5,3.989,0.801,0.801,2048,128,16,4.79,N/A,N/A,0.358,1471412.451199,203828,37446,166382,0.313,0.0026,3.04e-07,0.315,0.0163,0.0261,2.38e-07,0.0424,203951,204989,37667,38705,203828,1471412.451199,0,0,0,183
19,1,5,3.646,1.162,1.162,32,128,128,4.808,N/A,N/A,0.559,1623888.687999,224654,38815,185839,0.349,0.0124,3.21e-07,0.361,0.0867,0.111,3.54e-07,0.198,224525,230560,39812,45847,224654,1623888.687999,0,0,0,175
19,2,5,3.821,0.978,0.978,64,512,32,4.799,N/A,N/A,0.278,934088.364799,130207,23302,106905,0.203,0.00513,1.91e-07,0.208,0.0294,0.0406,1.72e-07,0.07,130294,132042,23631,25379,130207,934088.364799,0,0,0,111
19,3,5,3.775,1.027,1.027,2048,64,16,4.802,N/A,N/A,0.348,1431147.583999,198679,36422,162257,0.304,0.00229,2.96e-07,0.306,0.0159,0.0257,2.33e-07,0.0417,198802,199839,36642,37679,198679,1431147.583999,0,0,0,170
19,4,5,3.503,1.313,1.313,512,32,16,4.816,N/A,N/A,0.141,473666.784,67817,11334,56483,0.102,0.00318,9.39e-08,0.105,0.0156,0.0208,9.74e-08,0.0364,67940,68974,11551,12585,67817,473666.784,0,0,0,55
19,5,5,3.728,1.076,1.076,64,1536,16,4.804,N/A,N/A,0.278,1115796.387199,155569,28230,127339,0.237,0.00236,2.3e-07,0.239,0.015,0.0237,1.89e-07,0.0387,155692,156729,28450,29487,155569,1115796.387199,0,0,0,131
2,0,5,3.335,1.489,1.489,64,32,64,4.824,N/A,N/A,0.276,675193.8144,95092,15547,79545,0.148,0.00811,1.3e-07,0.156,0.0535,0.0667,1.84e-07,0.12,95107,98280,16095,19268,95092,675193.8144,0,0,0,74
2,1,5,3.7,1.106,1.106,64,1024,16,4.806,N/A,N/A,0.21,803956.057599,112459,20038,92421,0.17,0.00237,1.64e-07,0.173,0.0153,0.022,1.48e-07,0.0373,112582,113618,20257,21293,112459,803956.057599,0,0,0,90
