Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
16,4,6,4.167,1.614,1.614,32,2048,64,5.781,N/A,N/A,1.13,5501070.963194,756569,142523,614046,0.984,0.00625,1.15e-06,0.99,0.054,0.0869,8.63e-07,0.141,756584,759762,143076,146254,756569,5501070.963194,0,0,0,1261
16,5,6,3.834,1.964,1.964,2048,32,64,5.798,N/A,N/A,1.13,5502594.924794,756627,142523,614104,0.984,0.0064,1.15e-06,0.991,0.0535,0.0839,8.65e-07,0.137,756642,759820,143076,146254,756627,5502594.924794,0,0,0,1315
17,0,6,4.117,1.666,1.666,128,1536,128,5.7829999999999995,N/A,N/A,1.83,8922929.046412,1222688,231327,991361,1.59,0.0095,1.87e-06,1.6,0.085,0.139,1.39e-06,0.224,1222559,1228600,232330,238371,1222688,8922929.046412,0,0,0,3863
17,1,6,4.196,1.584,1.584,1536,128,128,5.779999999999999,N/A,N/A,1.82,8926620.086412,1223298,231327,991971,1.6,0.00949,1.87e-06,1.6,0.0827,0.132,1.39e-06,0.215,1223169,1229210,232330,238371,1223298,8926620.086412,0,0,0,3765
17,2,6,4.024,1.764,1.764,1024,512,64,5.788,N/A,N/A,0.888,4182217.328,577140,107707,469433,0.751,0.00761,8.73e-07,0.759,0.0527,0.0767,6.83e-07,0.129,577155,580336,108263,111444,577140,4182217.328,0,0,0,593
17,3,6,4.104,1.68,1.68,2048,1536,16,5.784,N/A,N/A,0.455,2328071.555199,321938,59974,261964,0.413,0.0018,4.85e-07,0.414,0.0144,0.0263,3.6e-07,0.0407,322061,323103,60199,61241,321938,2328071.555199,0,0,0,305
17,4,6,3.754,2.049,2.049,256,128,32,5.803,N/A,N/A,0.192,709930.88,98960,17158,81802,0.129,0.00473,1.42e-07,0.134,0.0257,0.033,1.53e-07,0.0588,99047,100795,17487,19235,98960,709930.88,0,0,0,90
18,0,6,3.956,1.836,1.836,512,1024,64,5.792,N/A,N/A,0.894,4181564.201601,576317,107707,468610,0.752,0.008,8.72e-07,0.76,0.0551,0.0796,6.84e-07,0.135,576332,579513,108263,111444,576317,4181564.201601,0,0,0,537
18,1,6,3.803,1.997,1.997,32,256,128,5.8,N/A,N/A,0.599,2253775.299199,316956,55199,261757,0.411,0.0134,4.53e-07,0.425,0.0773,0.0972,4.77e-07,0.174,316827,322863,56197,62233,316956,2253775.299199,0,0,0,273
18,2,6,3.866,1.93,1.93,1024,64,16,5.796,N/A,N/A,0.174,805139.692799,112834,20038,92796,0.142,0.00197,1.64e-07,0.144,0.0125,0.018,1.46e-07,0.0305,112957,113993,20257,21293,112834,805139.692799,0,0,0,88
19,0,6,3.758,2.044,2.044,1024,32,32,5.802,N/A,N/A,0.333,1519752.563199,210399,38662,171737,0.27,0.00318,3.14e-07,0.273,0.0239,0.0351,2.61e-07,0.059,210486,212234,38991,40739,210399,1519752.563199,0,0,0,178
19,1,6,3.924,1.869,1.869,1024,32,64,5.793,N/A,N/A,0.665,3013797.971201,416662,76987,339675,0.539,0.00635,6.25e-07,0.546,0.0496,0.0695,5.2e-07,0.119,416677,419854,77539,80716,416662,3013797.971201,0,0,0,395
19,2,6,4.196,1.584,1.584,512,128,128,5.779999999999999,N/A,N/A,0.923,3965305.5424,545341,100255,445086,0.716,0.0138,8.16e-07,0.73,0.0824,0.111,6.83e-07,0.193,545212,551251,101256,107295,545341,3965305.5424,0,0,0,548
2,0,6,4.077,1.709,1.709,1536,2048,16,5.786,N/A,N/A,0.455,2327953.942399,321842,59974,261868,0.413,0.00182,4.85e-07,0.414,0.0144,0.0262,3.6e-07,0.0406,321965,323007,60199,61241,321842,2327953.942399,0,0,0,292
2,1,6,4.116,1.668,1.668,128,2048,128,5.784,N/A,N/A,2.3,11432633.552106,1566335,296863,1269472,2.04,0.00957,2.4e-06,2.05,0.0923,0.158,1.73e-06,0.251,1566206,1572247,297866,303907,1566335,11432633.552106,0,0,0,6048
2,2,6,3.926,1.868,1.868,128,512,128,5.7940000000000005,N/A,N/A,0.934,3963647.7024,545753,100255,445498,0.72,0.0151,8.16e-07,0.735,0.0853,0.115,6.79e-07,0.2,545624,551663,101256,107295,545753,3963647.7024,0,0,0,589
2,3,6,3.685,2.121,2.121,128,64,64,5.806,N/A,N/A,0.28,915156.4576,125645,21691,103954,0.167,0.0076,1.8e-07,0.174,0.0469,0.0586,2.18e-07,0.106,125660,128835,22241,25416,125645,915156.4576,0,0,0,112
2,4,6,4.078,1.708,1.708,1536,256,128,5.7860000000000005,N/A,N/A,1.96,9561276.272009,1315582,247711,1067871,1.72,0.0125,2.01e-06,1.73,0.0894,0.139,1.52e-06,0.229,1315453,1321495,248715,254757,1315582,9561276.272009,0,0,0,3932
2,5,6,3.992,1.797,1.797,2048,256,32,5.789,N/A,N/A,0.622,3038953.347201,418714,78598,340116,0.545,0.00433,6.36e-07,0.549,0.0282,0.0453,4.72e-07,0.0734,418801,420553,78931,80683,418714,3038953.347201,0,0,0,467
2,6,6,3.974,1.817,1.817,512,2048,16,5.791,N/A,N/A,0.344,1705931.123199,236824,43590,193234,0.303,0.00234,3.53e-07,0.305,0.0147,0.0242,2.71e-07,0.0389,236947,237987,43813,44853,236824,1705931.123199,0,0,0,225
2,7,6,4.169,1.611,1.611,2048,1024,64,5.779999999999999,N/A,N/A,1.57,7924396.374393,1088728,206011,882717,1.41,0.00613,1.67e-06,1.42,0.0581,0.0984,1.22e-06,0.157,1088743,1091926,206569,209752,1088728,7924396.374393,0,0,0,1596
2,8,6,3.859,1.938,1.938,1536,32,16,5.797,N/A,N/A,0.229,1096467.849599,152952,27718,125234,0.195,0.00217,2.26e-07,0.197,0.0128,0.0193,1.88e-07,0.0321,153075,154111,27937,28973,152952,1096467.849599,0,0,0,142
2,9,6,4.036,1.751,1.751,1536,1024,128,5.786999999999999,N/A,N/A,2.61,13285705.795195,1824058,346015,1478043,2.36,0.00729,2.79e-06,2.37,0.0896,0.158,2.02e-06,0.248,1823929,1829973,347021,353065,1824058,13285705.795195,0,0,0,4002
20,0,6,3.965,1.827,1.827,2048,64,16,5.792,N/A,N/A,0.29,1431147.583999,198679,36422,162257,0.253,0.00191,2.96e-07,0.255,0.0133,0.0215,2.33e-07,0.0347,198802,199839,36642,37679,198679,1431147.583999,0,0,0,174
20,1,6,4.16,1.621,1.621,64,128,16,5.781000000000001,N/A,N/A,0.0757,259854.2208,37486,5702,31784,0.0457,0.00236,4.85e-08,0.0481,0.0121,0.0155,6.9e-08,0.0276,37609,38642,5918,6951,37486,259854.2208,0,0,0,32
20,2,6,3.816,1.983,1.983,2048,1024,32,5.7989999999999995,N/A,N/A,0.788,3970326.608001,545656,103174,442482,0.708,0.00292,8.34e-07,0.711,0.0278,0.049,6.04e-07,0.0768,545743,547497,103509,105263,545656,3970326.608001,0,0,0,546
20,3,6,4.024,1.764,1.764,2048,512,64,5.788,N/A,N/A,1.35,6675437.273596,917530,173243,744287,1.2,0.00767,1.4e-06,1.2,0.0576,0.092,1.03e-06,0.15,917545,920727,173800,176982,917530,6675437.273596,0,0,0,1443
20,4,6,4.233,1.544,1.544,2048,1536,64,5.776999999999999,N/A,N/A,1.8,9158073.318392,1256916,238779,1018137,1.64,0.00597,1.93e-06,1.64,0.0594,0.105,1.39e-06,0.165,1256931,1260115,239338,242522,1256916,9158073.318392,0,0,0,1841
20,5,6,3.754,2.049,2.049,128,128,32,5.803,N/A,N/A,0.158,552618.7552,76167,13062,63105,0.0991,0.00403,1.09e-07,0.103,0.0238,0.0309,1.22e-07,0.0547,76254,78001,13390,15137,76167,552618.7552,0,0,0,70
21,0,6,3.992,1.797,1.797,1024,256,32,5.789,N/A,N/A,0.392,1797771.705599,248856,45830,203026,0.322,0.0043,3.72e-07,0.327,0.0271,0.0389,3.09e-07,0.066,248943,250694,46162,47913,248856,1797771.705599,0,0,0,205
21,1,6,3.706,2.099,2.099,128,32,128,5.805,N/A,N/A,0.466,1623721.027199,224505,38815,185690,0.29,0.0102,3.21e-07,0.3,0.0724,0.0928,3.51e-07,0.165,224376,230411,39812,45847,224505,1623721.027199,0,0,0,166
21,2,6,3.913,1.881,1.881,256,256,16,5.794,N/A,N/A,0.118,457766.5344,65784,10822,54962,0.083,0.00322,9e-08,0.0862,0.0141,0.0176,1.04e-07,0.0317,65907,66943,11041,12077,65784,457766.5344,0,0,0,56
22,0,6,3.787,2.013,2.013,32,256,64,5.8,N/A,N/A,0.333,1150747.407999,161779,27835,133944,0.213,0.00895,2.3e-07,0.222,0.0499,0.0615,2.68e-07,0.111,161794,164969,28385,31560,161779,1150747.407999,0,0,0,136
